step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isMerchant,day,errorBalanceOrig,errorBalanceDest,isOrigBalanceZeroAfter,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
0.018697669295608652,0.6166082466550923,0.148188614413765,0.0,0.0,0.0,0.0,0.0,0.12983516961163638,0.0,0.03242789246899358,0.006963141074363545,0.0,0.0,0.026500220929440252,0.011353925216725624
0.007016409592721749,0.29039040427423796,0.08895259522872488,0.009792170325210021,0.0,0.01719466263741009,0.017111104038156254,0.027458857584661094,0.0837403008868772,0.3433133786159865,0.0,0.06747584969076732,0.0,0.0,0.03812914679087209,0.0
-0.06468044507618789,0.23847970372955582,0.0856266230289047,0.01739124568183109,0.0,0.002622522177659679,0.025726725154933027,0.07988301937100696,0.12373022764581597,0.35338694892888717,0.02877807563450964,0.026911742112311666,0.03441758077784744,0.0,0.021504892217648796,0.01679601828090138
0.0,0.5143915715015241,0.16048847653614814,0.0,0.0,0.0,0.03341940989228104,0.034412745436087515,0.1321407904496342,0.0,0.057376002646796785,0.020799956904388617,0.0,0.0,0.032550468812920175,0.004995457485844623
-0.07398066045988935,0.19921196311406492,0.07245077529650495,0.039183747738185254,0.0,0.044810961375804016,0.030653957962327345,0.1230915620015771,0.1306898401024889,0.32712311773499925,0.0,0.020421182614161617,0.04164984655117979,0.0,0.03526858563422153,0.0
0.031136321347802642,0.31310734819724884,0.08008885177380029,0.013171889999596852,0.0,0.014109285157844306,0.020455887413293433,0.0,0.10047089565235179,0.3482022775680134,0.007690284314666783,0.03158239717129375,0.02136682401551047,0.0,0.009192617054202712,0.0
0.0,0.5259574492847333,0.2519432433685312,0.02376328935982874,0.0,0.0,0.009182605447582981,0.02516231642046923,0.1132537892054668,0.0,0.0,0.0,0.01581223552810162,0.0,0.025499951050911407,0.0
0.0,0.4063584833880121,0.13465173066441197,0.0,0.0,0.031119179408467285,0.0,0.0,0.05006236809704946,0.3481373530030772,0.0,0.0,0.0,0.0,0.020245765104607294,0.0
0.0,0.29471654371255246,0.059120645880674325,0.015903841417821238,0.031725037885309615,0.0,0.013639525029804733,0.017193255244591237,0.09516432206678252,0.32368176130949344,0.028853510882583724,0.0575710466912878,0.04138180917533356,0.0,0.006498291875415987,0.005125288493974756
0.0,0.42152580347185004,0.2570608431749465,-0.1214880337226821,0.0,0.0,0.0,0.0,0.060948403053177475,0.37252786368833346,0.0,0.0,0.0,0.0,0.0,0.0
